#54001: 	#ame Thunder over the jungle
#54002: 	#ame Another day, another morning, another reconnaissance mission. Get up, you have a long journey ahead!
#54003: 	#ame March 1, 1967, 0515 a.m.
#54004: 	#ame Cambodia, near the Ho-Chi-Minh Trail 
#54005: 	#ame March 1, 1967, 0530 a. m.
#54006: 	#ame Jungle in South Vietnam, close to the Cambodian border
#54007: 	#ame Thunder over the jungle
#54008: 	#ame An American plane has crashed nearby. The pilot must be found before the Vietcong can get him. Go, go, go, soldiers!
#54009: 	#ame Check the crash site
#54010: 	#ame Find the pilot
#54011: 	#ame Take the pilot to the landing zone
#54012: 	#ame Fly with the entire team and the rescued pilot to the base
#54014: 	#ame Rescue the captured pilot
#54015: 	#ame Blow up the cache
#54016: 	#ame to untie the pilot
#54017: 	#ame Thunder over the jungle
#54018: 	#ame Wrecked plane, pilot nowhere to be seen. He was parachuting nearby, look for him, soldiers!
#54019: 	#ame Thunder over the jungle
#54020: 	#ame The jungle is swarming with the Vietcong, this rescue mission will surely be interesting! Hurry or the enemy will get to the pilot first!
#54021: 	#ame Thunder over the jungle
#54022: 	#ame Charlie’s nest is here, all the VC have swarmed out of it like ants! But you still have to complete the task – find the pilot!
#54023: 	#ame Thunder over the jungle
#54024: 	#ame You found the parachute hanging on the tree but the pilot is nowhere to be seen. It looks like the enemy found him. You have to find and rescue him immediately!
#54025: 	#ame Thunder over the jungle
#54026: 	#ame The pilot of the shot-down Thunderchief is held captive by a Vietcong group. Do you know what that means, soldier? A rescue operation! You must rescue the pilot immediately!
#54027: 	#ame Thunder over the jungle
#54028: 	#ame Good job, the pilot is safe for now. Now you need to find a suitable spot for landing and call the chopper. So, get going, soldiers!
#54029: 	#ame Thunder over the jungle
#54030: 	#ame The pilot was rescued. You must now take him to the landing zone, wait for the chopper and the mission will be complete.
#54031: 	#ame Thunder over the jungle
#54032: 	#ame Charlie has a den in the jungle around here. But don’t let that distract you. Proceed to the landing zone.
#54033: 	#ame Thunder over the jungle
#54034: 	#ame You found a landing zone, now you need to wait for the chopper to pick you up!
#54035: 	#ame to check the pilot
#53531: 	#ame “Directional mine”. When detonated, the explosion hurls a shower of steel fragments to a distance of 250 meters with a 60 degree dispersion rate. The mine is composed of a plastic casing and a curved panel of explosive, on which hundreds of projectiles are arranged and fused in plastic. It can also be used as an automatic explosive or be detonated remotely. It was a very efficient weapon in Vietnam.\n
	
#53540: 	#ame Montagnard’s weapons \n
#53541: 	#ame The mountaineer tribes along the Vietnamese and Cambodian border were equipped with both traditional weapons, as well as weapons supplied by the American Green Berets. Their traditional armament mainly included bow and arrows, hand-made knifes and machetes of all shapes, as well as primitive firearms. These comprised home-made, single-action matchlock pistols. It may seem these weapons are not too dangerous, but many a Vietcong who crossed over to their area had the chance to witness the mountaineers operate these matchlock pistols or bow and arrows with great precision, often repelling their Kalashnikov-armed units. \n
	Numerous guerilla fighters and North Vietnamese didn’t survive such encounters with the locals. Occasionally, these mountaineers were also equipped with confiscated enemy weapons, guns used by the French colonial army, hunting guns, weapons they stole from the Japanese and now the communists. The Montagnards incorporated into the CIDG project were armed with American weapons. The M-1 carbine seemed to be the most suitable weapon for them.\n
	
	
#53550: 	#ame Vietcong traps \n
#53551: 	#ame The allies in South Vietnam would often run into “falling holes”. These were the most primitive but also feared traps. Sharp bamboo poles, often contaminated with excrements, were stuck into the bottom of the trap. The trap itself was usually covered with a mat and camouflaged with vegetation. Bamboo easily penetrated the soles of military boots and caused terrible injuries. These were seldom deadly, however the psychological impact of such an injury was great as soldiers watched their friends double up in pain.\n
	Other, more dangerous types of traps were the numerous forms of “hedgehogs” hooked to various mechanisms which upon being activated by an enemy soldier walking on them, would literally throw and nail his body down. It is very sad that the Vietcong often commissioned women and children to produce these inhumane weapons.\n
	Very frequently, traps utilizing ammunition were used. Unlike the NVA, the Vietcong seldom possessed special anti-artillery mines, thus they had to improvise. Also armed grenades in cans or mines made out of artillery mortars of various calibers could be found. Artillery mortars were usually placed upright in holes. A metal point was positioned under a match and a small board was placed on the grenade camouflaged with leaves. If a soldier stepped on this mechanism, the pressure of his foot pushed it down, the point lit the match and an explosion occurred.\n
	
#53552: 	#ame Machete\n
#53553: 	#ame Machete is very important and useful tool in the jungle. It could be used as a very effective weapon in melee fight, but it is also superfluous for bushwhacking in thick growth.\n
#53554: 	#ame DP\n
#53555: 	#ame      Ammo:…………………7.62x54R\n
	     Weight:……………8.4 kg\n
	     Length:………………..1266mm\n
	     Rate of fire:……………..600 rpm\n
	     Magazine capacity:….47 rounds in pan magazine\n
	Degtaryev Pechotnyi (Infantry Degtaryev) was adopted as a standard light machine gun for the Red Army in the year 1928. This rugged and reliable weapon was used till the fifties, when it was replaced by a modernized version, DPM. This older type was widely exported to many countries, especially for communist sympatizants. It uses pan magazine placed horizontally on the top of the weapon.\n
#55556: 	#ame Ammo:7.62x54R\n
	Rate of fire: 600 rpm\n
	Magazine capacity:47 rounds in pan magazine\n
	Degtaryev Pechotnyi (Infantry Degtaryev) was adopted as a standard light machine gun for the Red Army in the year 1928. This rugged and reliable weapon was used till the fifties, when it was replaced by a modernized version, DPM. This older type was widely exported to many countries, especially for communist sympatizants. It uses pan magazine placed horizontally on the top of the weapon.\n
#55557: 	#ame ZB37
	
	
	
#55600: 	#ame This is an ingame hint, which can give you some advice about playing the game.
#55601: 	#ame You can turn off hints from within the game settings.
#55602: 	#ame If you find yourself lost, you can go to your pointman point your cursor at him and press the USE key.
#55603: 	#ame Pointmen will try to find the way and lead the team, or he will tell you what is going on or why he cannot continue.
#55604: 	#ame The blinking radio icon of the means that something has happened and you need to contact your HQ or another team.
#55605: 	#ame If you have radio in you inventory, just switch your current item to the radio, or go to your radioman Defort, point your cursor at him and press the USE key.
#55606: 	#ame You have to watch your ammo when on a mission - if you're running low, you can search the bodies of your enemies and take some of theirs, but only if it's usable for your current gun.
#55607: 	#ame Or you can throw away your weapon and take one of the enemies.
#55608: 	#ame If you have your engineer Bronson with you on the mission, he can provide you with ammo - if he is not near just call him over and point your cursor at him. Now press the USE key. Note: hr only gives out ammo for weapons of American origin.
#55609: 	#ame If you are wounded, you can heal yourself with a medikit (just select the medikit in your inventory and use it), or you can have your medic Crocker heal you, point your crosshair at him until it turns to a circle and press the USE key.
	
	
	
	
#54700: 	#ame to use mounted ZB-37
#54701: 	#ame to leave mounted ZB-37
#54702: 	#ame to use mounted M2 Cal .50
#54703: 	#ame to leave mounted M2 Cal .50
	
#54704: 	#ame There are several Vietcong platoons operating in the area of an old temple in Ai Tu. Your mission is to eliminate them all.
#54705: 	#ame Your basecamp was attacked. The enemies are invading and trying to destroy your ammo bunker. Do your best to stop them.
	
#54706: 	#ame Black Pajama
#54707: 	#ame Douglas 
#54708: 	#ame NVA Colonel
	
#54709: 	#ame Commie hat
#54710: 	#ame Beret hat
#54711: 	#ame Mexico
	
#54712: 	#ame SFC Douglas
	
	
	
	
#6247: 	#ame Difficulty
#6267: 	#ame AI difficulty for the Cooperative Mission
	
	
#6360: 	#ame Hradba anticheat
#6361: 	#ame User map upload
#6362: 	#ame Enable
#6363: 	#ame Enable the use of HradBa Anti-Cheat
#6364: 	#ame Auto update
#6365: 	#ame Enable automatic update of Hradba when the server is running 
#6368: 	#ame Usermap upload
#6369: 	#ame Enable clients to download a running user-map if they do not have it
	
#6390: 	#ame Secured
#6391: 	#ame Unsecured
#6434: 	#ame Hradba
#6435: 	#ame Password-free
#6448: 	#ame Filter server list depending on Hradba anticheat
#6449: 	#ame Check if you don't want to see a password protected game in the list
	
#8208: 	#ame Bayonet
#8209: 	#ame Set or hide bayonet on current weapon
	
	
#7366: 	#ame by USE key
#7367: 	#ame by shoot when not aiming
	
	
#7390: 	#ame Bayonet usage
#7391: 	#ame Select mode of control to attach or un-attach the bayonet
#6392: 	#ame default
#6393: 	#ame 7
#6394: 	#ame 15
#6395: 	#ame Low
#6396: 	#ame Hi
#6372: 	#ame TT Mode
#6373: 	#ame Mission time
#6374: 	#ame Time for playing one mission
#6375: 	#ame Respawn time
#6376: 	#ame Time to respawn player after death
#6377: 	#ame Voice speech
#6378: 	#ame Select voice speech quality (or disable all)
#6386: 	#ame Change map voting
#6387: 	#ame Enable clients to start voting to change the map 
#6388: 	#ame Restart map voting
#6389: 	#ame Enable clients to start voting for the restart of the map 
	
#6105: 	#ame Mode settings
	
#6366: 	#ame Upload limit
#6367: 	#ame Limit for upload of HradBa to all clients that have no current version (in KB/sec)
#6370: 	#ame Upload limit
#6371: 	#ame Limit for upload of user-map's to all clients (in KB/sec)
	
	
#1121: 	#ame Data :
#1122: 	#ame kBytes
#1123: 	#ame Time :
#1124: 	#ame Press ENTER to stop download, ESC to continue.
#1125: 	#ame Download stopped by user.
#1126: 	#ame Downloading HradBa version %d
#1127: 	#ame Downloading user-created map
#1128: 	#ame Downloading Pterodon map
#1129: 	#ame bayonet
#1130: 	#ame Enemy flag is stolen by %S !
#1131: 	#ame %S - cheating %S detected. Penalty: %s
#1132: 	#ame kill
#1133: 	#ame kick
#1134: 	#ame ban
#1135: 	#ame ban I.P
#1136: 	#ame %S (%s) captured flag %d.
#1137: 	#ame This may be false cheat detection because of %S high ping %d ms
	
	
	
#1162: 	#ame Different version found: 
#1163: 	#ame Initialization failed:
	
#1164: 	#ame HradBa anticheat initialization failed
	
	
#2225: 	#ame Claymore
#2226: 	#ame Claymore switch
	
#1138: 	#ame %S - bad connection detected %S, HradBa cannot work. Penalty: %s
	
	
#5100: 	#ame TurnTable
#5101: 	#ame %s captured the last flag. US win and score.
#5102: 	#ame %s captured the last flag. VC win and score.
#5103: 	#ame %s captured the last flag. US win. VC must now capture all the flags in less time than the US team did!
#5104: 	#ame %s captured the last flag. VC win. US must now capture all the flags in less time than the VC team did!
#5105: 	#ame US defenders win and score.
#5106: 	#ame VC defenders win and score.
#5107: 	#ame Attacker %s captured the flag %d.
#5108: 	#ame Capture the flags one by one!
#5109: 	#ame Defend the flags! If the attackers seize one, defend the next! 
#5110: 	#ame Capture flag %d !
#5111: 	#ame Capture the last flag!
#5112: 	#ame Defend flag %d !
#5113: 	#ame Defend the last flag!
	
#293: 	#ame One team attacks, while the other defends. The attackers must capture a number of flags in order, while the defenders must stop them for as long as they can. The flags also act as re-spawn points for the attacking team, so it is essential that the defending team stop the attackers from getting a foothold. Once the last flag has been turned, the defenders will become attackers. After the two rounds, the team who took the least amount of time to turn all the flags takes the point.
	
#7416: 	#ame Graphic Details
#7417: 	#ame This is the setting of the graphic details.
#7418: 	#ame Grass
#7419: 	#ame This checkbox enables rendering of detail grass objects in the game.
#54211: 	#ame Two weeks after this very successful mission for which SFC Douglas was awarded the Silver Star,\nteam A-216 completed an important mission against the Vietcong tax collectors.\nThe mission was successful however, sergeant Douglas was shot dead from behind by a Vietcong sniper. \n \n \n \n \n \n \n
	
#54713: 	#ame ZB-37
#54714: 	#ame Machete
