#100: 	#ame  Not available in demo
#101: 	#ame  Game inactive - waiting for both sides
#102: 	#ame  US
#103: 	#ame  VC
#104: 	#ame  to take ammo
#105: 	#ame  Ammo full
#106: 	#ame  You have to drop
#107: 	#ame  to pick up
#108: 	#ame  You already have
#7950: 	#ame Tokarev TT
	
#7951: 	#ame 
	Ammo: 7.62mm TT\n
	Mag capacity: 8\n
	\n
	Standard Russian sidearm during and \n
	after the Second World War. Was replaced \n
	later on by the Makarov. Copies were \n
	manufacterd in many eastern block \n
	countries, like China and North Korea.
	
	
#7972: 	#ame S & W model 39
	
	
#7973: 	#ame Ammo: 9mm parabellum\n
	Mag capacity: 8\n
	\n
	Smith & Wesson are responsible, for what was the first US designed double action, semi-automatic pistol.
Special Forces and Navy Seals often used a modified version of the S&W model 39, nicknamed the ‘Hush Puppy’. As it was silenced, this enabled soldiers to eliminate enemy soldiers without alerting anyone. They were also useful in the networks of VC tunnels, where firing a regular weapon could result in temporary deafness.
	
	
	
	
	
	
#7982: 	#ame Baikal IZH-43
	
	
#7983: 	#ame Gauge: 12\n
	\n
	A classic hunting, double barrel shotgun.  It is extremely deadly at close range. 
	
	
	
	
#7956: 	#ame Remington 870
	
	
#7957: 	#ame Gauge: 12\n
	Mag capacity: 7 rounds \n
	in underbarrel \n
	tube magazine\n
	\n
	The Remington 870 is one of the most popular US-made, all purpose,
	pump-action shotguns.  Used by hunters, police, and the military.
	It is excellent at close quarters but less effective at range.
	
	
	
#7976: 	#ame M1 Carbine
	
	
#7977: 	#ame Ammo: 0.30 Carbine \n
	Mag capacity: 20 rounds \n
	\n
	A light and elegant weapon that's also easy to handle.  The US standard
	service rifle until the late 1960s, when it was replaced by the M16. 
	
	
	
#7978: 	#ame Mosin-Nagant
	
	
#7979: 	#ame Ammo: 7.62x54mm \n
	Mag capacity: internal 5 round compartment\n 
	\n
	Although this Russian weapon dates 
	back to 1891, it was manufactured 
	well after the Second World War. \n
	It is a very useable, reliable and 
	accurate bolt-action rifle.
	
	
#7962: 	#ame SKS Simonov
	
#7963: 	#ame 
	Ammo: 7.62x39mm\n
	Mag capacity: 10\n
	\n
	The Simonov was designed during the Second \n
	World War. Mass production started \n
	after the war. \n
	Copies were made \n
	in China, North Korea, East \n
	Germany and Yugoslavia. 
	Estimated production is about 
	15 million units. An accurate and reliable rifle.
	
	
#7958: 	#ame Winchester 70
	
	
#7959: 	#ame Ammo: US .30-06 \n
	Mag capacity: internal 8 round \n
	compartment\n
	\n
	Excellent hunting and sniper rifle, named "Bolt-action rifle of the century".
	
	
#7944: 	#ame M1 Garand with sniper scope
	
#7945: 	#ame 
	Ammo: US .30-06 \n
	Mag capacity: internal 8 round compartment \n
	\n
	The M1 Garand was made famous as an infantry weapon \n
	during the Second World War. \n
	It was replaced by the newer M14 rifle \n
	at the start of the Vietnam conflict. This is the sniper variant of the M1,\n
	using an inner magazine with 8 rounds \n
	(the standard M1 uses a clip magazine),
	and fitted with a sniper scope. It is an excellent weapon for experienced sharpshooters, capable of hitting targets at incredibly long ranges.
	
	
	
#7960: 	#ame SVD Dragunov
	
	
#7961: 	#ame Ammo: 7.62x54mm Rimmed \n
	Mag capacity: 10\n
	\n
	The Snayperskaya Vintovka Dragunova was \n
	the first rifle designed from scratch as a sniper rifle. It was developed in the 1950s and early 1960s. It has an extremely long range.
	
	
	
	
	
	
	
	
#7940: 	#ame M-16
	
	
#7941: 	#ame Ammo: 5.56x45mm NATO\n
	Mag capacity: 20 \n
	Rate of Fire: 700-950 rounds per min\n
	\n
	Excellent assault rifle developed by \n
	Colt. It replaced the M14 as the standard weapon \n
	of the US Army. The gun uses a smaller calibre \n
	round than other assault rifles. \n
	Originaly, the M-16 was shipped as "self-cleaning", but experience soon showed that this gun is quite delicate and must be well cared for. Also, it was recommended having only 18 rounds in the clip, to reduce the risk of jamming.
	
	
	
	
#7968: 	#ame US-M3 'Grease Gun'
	
#7969: 	#ame 
	Ammo: 0.45 ACP (or 9mm parabellum) \n
	Mag capacity: 30\n
	Rate of fire: 400 rounds per min\n
	\n
	The American response to the British Sten Gun.  
	A cheap, simple weapon which  makes a reasonable alternative to the Thompson. \n
	Although the US Army doesn't use them any more, a great deal were exported worldwide. \n
	\n
	Only fires on full-auto.
	
	
#7942: 	#ame Kalashnikov AK-47
	
	
#7943: 	#ame Ammo: 7.62x39mm\n
	Mag capacity: 30\n
	Rate of Fire: 600 rounds per min\n
	\n
	The Kalashnikov, or AK, is a superb Russian \n
	weapon, widely used and manufactured 
	in many countries. It is very 
	reliable and accurate, and can be used 
	in almost any enviroment. \n It 
	packs serious strength and 
	at close ranges could pierce almost anything. The consequence is that it has a lot of recoil. One of best weapons used by the enemy. Many US soldiers prefered the AK-47, over standard armament, not only for it's great reliability, but also to confuse the enemy - it has a very distinctive sound.
	
	
#7946: 	#ame PPS-41 Spagin
	
	
#7947: 	#ame Ammo: 7.62mm\n
	Mag capacity: 71 drum or 35 clip \n
	Rate of Fire: 900 rounds per min\n
	\n
	The famous Soviet Pepeshka was very 
	widely used in the Second World War. \n
	It was manufactured in great numbers and shipped to many other countries\n
	after the war. \n Thanks to its large ammo capacity 
	and fast rate of fire, it can be very 
	useful at close ranges.
	
	
#7974: 	#ame PPS-43
	
#7975: 	#ame 
	Ammo: 7.62mm\n
	Mag capacity: 35 clip\n
	Rate of Fire: 700 rounds per min\n
	\n
	Probably the best of the Soviet, Second \n
	World War submachine guns. It was \n
	designed and issued in \n
	Leningrad, during the 900 day siege. \n
	After the war, it was widely exported to Asia, China \n
	and North Korea.
	
	
#7970: 	#ame Thompson M1A1
	
	
#7971: 	#ame Ammo: 0.45 ACP \n
	Mag capacity: 30 rounds \n
	Rate of fire: 700 rounds per min \n
	\n
	An improved version of the famous 'Tommy Gun'. 
	Widely used during WW2 where it proved itself as a reliable and powerful firearm. \n
	\n
	The main drawbacks of the weapon are its weight and short effective range.
	
	
	
	
#7980: 	#ame M-79 Grenade launcher
	
	
#7981: 	#ame Ammo: 40mm grenade\n
	\n
	The M79 was designed as a close 
	support weapon for the infantry.
	It was intended to bridge the gap 
	between the maximum 
	throwing distance of a hand grenade
	and the lowest range of supporting 
	mortar fire - an area of between 50 and 300 meters. \n
	The M79 is a single shot, shoulder fired, break-barrel loading weapon which fired a spherical 40mm diameter grenade. The most popular round, the M-406 40mm HE grenade, had a kill radius of 5 metres. Other types of grenade included CS gas, flares, smoke grenades and even a 00 buckshot round.
	
	
	
#7964: 	#ame M60
	
	
#7965: 	#ame Ammo: 7.62mm NATO\n
	Mag capacity: Usually 100 rounds \n
	in belt, placed in case\n
	\n
	The M60 has been the standard general purpose machine gun of the US Army
	since the 1950s. They are used as a general crew-served weapon or mounted onto helicopters or other vehicles.
	
	
#7966: 	#ame RPD-Degtarev
	
	
#7967: 	#ame Ammo: 7.62x39mm \n
	Mag capacity: 100 round belt \n
	placed in drum-like box\n
	Rate of fire: 650 rounds per minute\n
	\n
	Soviet light machine gun, widely used and encountered in Vietnam. \n
	It had the advantage of firing the same 7.62mm round used in the AK-47 \n
	and SKS. \n
	
	
	
#7986: 	#ame M2-Cal. 50
	
	
#7987: 	#ame Ammo: 0.50 cal\n
	\n
	The Browning M2 .50 calibre (12.7mm) machine gun, from the Second World War, is an automatic, belt-fed, recoil operated, air-cooled, crew-operated machine gun.  It may be found mounted on tripods or on choppers.
	
	
	
#7988: 	#ame M26 Hand Grenade
	
	Standard US Army fragmentation grenade with a 4 second timed fuse.
#7989: 	#ame It weighs just less than half a kilogram and has a kill radius of 5 metres and a casualty radius of up to 25 metres.
	
#8990: 	#ame US weapons
#8991: 	#ame Enemy weapons
	
	
	
#8000: 	#ame 5th SF Detachment A-216\n
	Location: Nui Pek\n
	Province: Pleiku, II Corps Tactical Zone\n
	Date: July 5th 1967
	\l
	
	Three Canyons\n\n
	
	Mission primary: \n
	Reconnoiter the area for a suspected VC supply trail.\n
	 Make your way to the LZ at the Montagnard village. \n\n
	
	Mission secondary: \n
	 Destroy any enemy arms or food caches you encounter. \n
	 Meet up with the Tribal chief \n
	 Engage any VC trail-watchers you encounter. \n\n
	
	Team: Hawkins, Crocker, Defort, Nhut\n
	Call sign: Spike \n
	Supporting force: N/A\n
	Extra equipment: C-4 explosives
	
#8001: 	#ame Situation: \n
	\t Information from the local tribes people hints that the VC are making regular appearances in the area of the three canyons. Coupled with this, previous intelligence suggests that a large VC supply route intersects this region, along which, the VC may have placed large caches, containing weapons and food. VC supply routes and supplies caches are always well protected, by a combination of improvised traps and “Trail watchers” who maintain the caches and act as sentries.\n\n
	
	Execution: \n
	\t Your LZ is situated in a relatively dense jungle, at grid-ref 11/38. Insertion will take place at around 05:30. You will attempt to cross the sector from the South to the North, whilst trying to locate signs of the possible VC supply route and caches. Extraction will take place near a Montagnard village on the other side of the AO at grid-ref 39/50. We currently have no way of assessing enemy assets in the area, therefore engaging any VC units is not a primary objective.
	
#8002: 	#ame 5th SF Detachment A-216\n
	Location: Nui Pek\n
	Province: Pleiku, II Corps Tactical Zone\n
	Date: September 15th 1967
	\l
	
	Operation: Tin Can\n\n
	
	Mission primary: \n
	 Clear the area around the French bunkers of the enemy forces. \n
	 Discern enemy armor, as seen by air recon. \n
	 Navigate fire support to destroy the enemy armor. \n\n
	
	Mission secondary: \n
	 Reconnaissance and surveillance of the old French road\n
	 Rendezvous with teams Shrew Two and Shrew Three\n\n
	
	
	Team: Hawkins, Crocker, Defort, Bronson, Hornster, Nhut\n
	Call sign: Shrew \n
	Supporting force: artillery fire from Pleiku camp, \n
	
#8003: 	#ame Situation: \n
	\t In the last few days, air recon have detected a group of what appears to be contingent/possible enemy armor in our AO, at grid-ref 19 /49. The enemy armor appears to be grouped near the cantilever bridge that spans the Khe Bana river, alongside the old French road which leads across the bridge. Intel also suggests that there may be some old French fortifications and bunkers in proximity to the road bridge. \n\n
	Execution: \n
	\t You will be inserted with Shrew Two into clearing an area on the Northern side of the Khe Bana bridge. After Shrew Two have secured the Southern end of the road bridge, your team will cross the river, attempt to locate and clear the fortified French bunkers and recce the status of the road. Once the bunkers have been secured, you must follow the French road towards the enemy armor, with utmost discretion. When the enemy armor has been discerned, you must call for accurate fire support from the Pleiku FSB. Air force is on standby, should the artillery fail. You must confirm the destruction of the tanks before rendezvousing with Shrew Three for immediate extraction.
	
#8004: 	#ame 5th SF Detachment A-216\n
	Location: Nui Pek\n
	Province: Pleiku, II Corps Tactical Zone\n
	Date: September 21st, 1967
	\l
	
	Papa Oscar Whiskey\n\n
	
	Mission primary: \n
	 Locate and Rescue US POW. \n
	 Direct artillery fire and air support on to VC occupied village. \n\n
	
	Mission secondary: \n
	 Reconnoiter the swamp and the surrounding area. \n
	 Confirm existence of VC supply distribution area. \n
	 Remain undetected for as long as possible. \n\n
	
	Team: Hawkins, Crocker, Defort, Bronson, Hornster, Nhut\n
	Call sign: Swamp Fox\n
	Supporting force: artillery fire from Pleiku camp, coupled with air support\n
	
#8005: 	#ame Situation:\n
	\t The VC have got our SF man, Marv. They appear to have moved him from the area around the Khe Bana, up to a VC controlled village Rang Dong, which is several clicks further upstream, in the middle of a large swamp. More than likely, he will be held there until the VC can move him further out of the way. A US POW is excellent for communist propaganda, consequently, he must be returned alive.
	Combined with this, the action alongside the, Khe Bana river uncovered a relatively large concentration of local VC cells, focused around the fishing village that skirts the river. This leads us to assume that the much sought after VC supply depot may be in this area, supplying weapons to the increased concentration of VC in that sector. This must be confirmed. \n\n
	
	Execution:\n
	\t You will be inserted deep in enemy territory, one or two klicks North of our target (Point Baker). Your team will negotiate their way South-West through the swamp, towards the VC occupied village Rang Dong. The area is likely to be well guarded, but you must try to avoid detection if at all possible.  If you are spotted, you must ensure that your presence is not relayed back to the VC mainforce. \n
	\t As you proceed towards the village, you must try to find evidence of a VC supply distribution area, confirmation of this would enable us to gauge levels of VC activity in the AO. \n
	\t Once at the village, you must ensure absolute discretion. Recon spotted a hill which overlooks the village, this will be you rendezvous point. Nhut and Crocker will stay on top of the hill, from there they will be able to cover the whole village with covering fire. Hornster and Defort will be positioned at the northern entrance to the village. Bronson will sneak inside the village and set explosives on one of the VC huts. Hawkins meanwhile, will locate the POW and move in as close as possible. When Bronson’s explosives draw the attention of the VC guards, that's the time to get the POW out.  \n
	\t Remember, if you are detected too early, the VC will move the POW away, or shoot him on the spot. Once you have successfully extracted the POW, you should get back to the rendezvous point, and call navigate the air and artillery support on to the enemy installation. \n
	
#8006: 	#ame 5th SF Detachment A-216\n
	Location: Nui Pek\n
	Province: Pleiku, II Corps Tactical Zone\n
	Date: September 23rd, 1967
	\l
	
	Brush and Sweep\n\n
	
	Mission primary: \n
	 Support Snake One and Three in their blocking role.\n
	 Stop VC escaping AO, and sweep it clear of enemy forces. \n\n
	
	Mission secondary: \n
	 If possible, take VC prisoners. \n
	 Reconnoiter the area. \n\n
	
	Team: Hawkins, Crocker, Defort, Bronson, Hornster, Nhut \n
	Call sign: Snake Two \n
	Supporting force: air strikes/artillery\n
	
#8007: 	#ame Situation: \n
	\t Recently, local VC cells have been lured out of hiding and taken heavy losses. The remaining units are panicked and are low on morale. They have been cornered in grid-ref 60/40 and are currently pinned down by US forces. Due to the local terrain (deep swamp, punctuated with small islands),  the VC have only two escape routes, East and West, whilst the flanks are impassable.  This situation means we can quite easily block the remaining VC in the AO, and close the trap, sweeping the swamp and its islands clear of any enemy. LLDB will block the area from the East, while the A-256 team from Duc Co camp blocks the Western exit from the area. Due to the low morale of the enemy forces, it may be possible to encourage surrender, and subsequently, secure VC prisoners of war.  \n\n
	
	Execution:  \n
	\t After they have been inserted, Snake one (A-256 Duc Co) will dig in near the LZ at grid-ref 58/39 at the southern end of the AO. They will provide a defensive line, which will stop any VC escaping out of the sector via the passable land to the west. On top of this Snake Three will emulate Snake One’s defensive line, but they will cover the access to the higher ground at the Eastern end of the sector. Artillery and the Air force have been pounding the dead ground in-between the two snake units, in an attempt to flush out any remaining enemy forces.  The artillery is scheduled to cease when your team, Snake Two are inserted at grid-ref 57/39 in preparation for your sweep through the AO. You will move east, engaging the demoralized enemy, closing the trap between you and the blocking forces to the east.\n
	
#8008: 	#ame 5th SF Detachment A-216\n
	Location: Nui Pek\n
	Province: Pleiku, II Corps Tactical Zone\n
	Date: November 9th, 1967
	\l
	
	Radio Relay\n\n
	
	Mission primary: \n
	 Relieve Team A-171 from the Radio Relay on Hill dong Tam Hanh. \n\n
	
	Mission secondary: \n
	 Defend Radio Relay against any VC raids. \n\n
	
	Team: Hawkins, Crocker, Defort, Bronson, Hornster, Nhut\n
	Call sign:  Vista Bravo \n
	Supporting force: N/A\n
	
#8009: 	#ame Situation: \n
	\t The Khe Areh valley is a crucial point on the Ho Chi Minh trail. The enemy cells moving along this particular path serve to reinforce the already strong Communist presence in the province. HQ has four recon teams in the area to conduct reconnaissance of the Khe Areh valley, which is considered fully under enemy control. \n
	In order to provide a communication link with the reconnaissance teams operating in the Khe Areh sector, a temporary outpost has been constructed on hill Dong Tam Hanh, where a radio relay unit has been placed. Team A-217 (Vista Alpha), fortified at the elevation, have reported several, probing enemy attacks. \n\n
	
	Execution:  \n
	\t Your team Vista Bravo will leave the base at 1600 hours aboard flight of Bell UH-1’s and will flip flop with the Vista Alpha team. You will then remain at the outpost as long as the recon teams are operating in the valley. (Supposed time of recon team extraction is 1300 hours the next day). \n
	
#8010: 	#ame 5th SF Detachment A-216\n
	Location: Nui Pek\n
	Province: Pleiku, II Corps Tactical Zone\n
	Date: November 27th, 1967
	\l
	
	Po Tlong Karai\n\n
	
	Mission primary: \n
	Support operation to clear AO surrounding Po Tlong Karai. 
	Force VC out of dug-in positions. \n\n
	
	Mission secondary: \n
	Circle around the area, ready to insert when required.\n
	Provide aerial support, including reconnaissance and .50 caliber co-ax support. \n\n
	
	Team: Hawkins, Crocker, Defort, Bronson, Hornster, Nhut\n
	Call sign: Fist Alpha \n
	Supporting force: \n
	Extra equipment: C-4 explosives
	
#8011: 	#ame Situation: \n
	\t Recon teams operating in the Khe Areh valley did a good job and have helped locate a large system of enemy installations around Po Tlong Karai. This hill is an important strategic point, which overlooks the parts of the Ho Chi Minh path that run through the Khe Areh valley. We estimate that there is a whole division of Vietcong fortified on the hill. They have had time to dig in, and fortify the hill, so artillery has failed to clear the sector. \n
	A joint operation of SF, CIDG and LLDB will be conducted to try and clear the sector, and push the enemy beyond the boundaries of South Vietnam. The strike will be carried out by the Kieu 1 - 8 teams from two LLDB platoons. reinforce by three CIDG companies from Plei Me, Duc, Co, and Plei Djereng camps and SF teams. The infantry strike will be preceded by air bombardment. \n
	Execution:  \n
	Teams Fist Alpha, Fist Bravo and Fist Delta will be circling above the southwestern area in helicopters, ready to be inserted into the battle when needed. Teams Hammer One and Hammer Two will be covering the northern assault and team Hammer Three will be ready to help on the southeastern side.\n
	
#8012: 	#ame 5th SF Detachment A-216\n
	Location: Nui Pek\n
	Province: Pleiku, II Corps Tactical Zone\n
	Date: December 16th, 1967
	\l
	
	Air Recon\n\n
	
	Mission primary: \n
	 Undertake air reconnaissance around the rice fields by the Khe Bana river. \n\n
	 
	Mission secondary: \n
	 Eliminate any enemies using the Bell UH-1 mounted machineguns. \n\n
	
	Call sign:  Red Bird\n
	Supporting force: N\A \n\n
	
#8013: 	#ame Situation: \n
	\t Intelligence is sketchy on exactly what resistance you may face. Large groups of NVA have been reported, yet since we neutralized their temple base at Po Tlong Karai, we didn’t think they would be able to begin an offensive so soon. \n\n
	
	Execution:  \n
	\t Bell UH-1s will fly you into the area nearby the Khe Bana river. The helicopter patrol will then search for large groups of the enemy. If confirmed, clear the area of enemy presence from the Bell UH-1s, as there is little cover on the exposed rice fields. \n
	
#8014: 	#ame 5th SF Detachment A-216\n
	Location: Nui Pek\n
	Province: Pleiku, II Corps Tactical Zone\n
	Date: January 2nd, 1968
	\l
	
	Bahnar village\n\n
	
	Mission primary: \n
	 Reconnaissance and surveillance around the village of the Bahnar tribe. \n\n
	
	Mission secondary: \n
	 Engage any VC or NVA cells you encounter. \n
	 Locate the supposed NVA/VC base camp. \n\n
	
	Team: Hawkins, Crocker, Defort, Bronson, Hornster, Nhut\n
	Call sign: Spike One \n
	Supporting force: N/A\n
	
#8015: 	#ame Situation: \n
	\t It is probable that the enemy has one of its temporary camps somewhere near the village. We have several reasons to believe that there has been a large build up of both VC and NVA forces in the AO.  Firstly, chopper flights over the area have photographed a large group of local VC, moving through the area around the village at grid-ref 11/75. On top of this, subsequent helicopter and loach flights have taken heavy fire from enemy cells on the ground. More worrying, is the information provided by the Bahnar villagers that indicates the presence of NVA regulars, who appear to be armed with Russian built light mortars and possibly AA weaponry. \n\n
	
	Execution:  \n
	\t Insertion will take place at around 0600 hours at  grid-ref 15/69 near the stream, a few miles away from the village. Due to dense thicket, the best way to get to the village is by following the streambed. Your team will engage any enemy forces they encounter. Extraction will take place in the Bahnar village. \n
	
#8016: 	#ame 5th SF Detachment A-216\n
	Location: Nui Pek\n
	Province: Pleiku, II Corps Tactical Zone\n
	Date: January 7th, 1968
	\l
	
	The Bridge\n\n
	
	Mission primary: \n
	Patrol in chopper along route of twisty track.\n
	Oversee destruction of bridge\n\n
	
	Mission secondary: \n
	Slow up any enemy forces who have managed to cross the bridge.\n\n
	Clear area around bridge of NVA/VC forces. \n\n
	
	Team: Hawkins, Hornster \n
	Call sign:  \n
	Supporting force: Air force (on standby)\n
	Extra equipment: C-4 explosives
	
#8017: 	#ame Situation: \n
	\t The situation has become severe. A concentration of NVA regulars have managed to occupy the LLDB outpost pushing our forces into retreat. We also have had to evacuate the Jarai village which was under threat from the same NVA regulars.  The only way for the NVA to continue the advance is to cross the large, cantilever bridge, which carries the “twisty track” across the valley. 
	Due to recent actions, we have taken heavy casualties, some from your squad.  So you will be fighting with a depleted force. \n\n
	
	Execution: \n
	\t Take your team in a chopper and patrol along the route of the “twisty track”. Be alert for any VC/NVA convoys that may be on their way towards Nui Pek camp. Engage if possible, in order to slow their advance. Once in the vicinity of the bridge, clear up remaining enemy ground troops and oversee the air force’s destruction of the bridge.  You will be prepped with C-4 explosives in case the F4’s are grounded due to weather.\n
	
	
#1043: 	#ame   Kick player
#1044: 	#ame   Server kicked
#1045: 	#ame   out
	
#1046: 	#ame   DRAW ! TIME LIMIT REACHED.
#1047: 	#ame   VIETCONG WIN. ALL US SOLDIERS ELIMINATED.
	
#1048: 	#ame   Vietcong: ATG, search and destroy!
#1177: 	#ame   Real War. Capture whole area to win.
#1178: 	#ame   Take and defend the flag
#1179: 	#ame   Vietcong: Real War
	
#1194: 	#ame   Server kicked you out
	
	
#2025: 	#ame   Mission failed
#2026: 	#ame   Mission completed
#2027: 	#ame   Press Escape to quit to Main menu
#2028: 	#ame   Press 
#2029: 	#ame   or
#2030: 	#ame   to Quick Load
#2031: 	#ame   Ptero-Engine-II Setup
#2032: 	#ame   FullScreen
#2033: 	#ame   Triple buffer
#2034: 	#ame   Disable Sounds
#2035: 	#ame   Disable multipass rendering
#2036: 	#ame   Prefer 16bit textures
#2037: 	#ame   Disable DXTn textures
#2038: 	#ame   Disable DXTn Lightmaps
#2039: 	#ame   Show this dialog
#2064: 	#ame   Textures in system memory
#2065: 	#ame   Fit textures in video memory
#2066: 	#ame   OK
#2067: 	#ame   Cancel
#2068: 	#ame   Press Enter to restart mission
	
#8899: 	#ame   C4
	
#2821: 	#ame   to throw your bag on the bed
	
	
#6249: 	#ame   Share on internet
#6269: 	#ame   Let GameSpy enumerate this game server
	
#6035: 	#ame   Save
#6036: 	#ame   Quit
#6055: 	#ame Save list of missions and server settings into definition file.
#6056: 	#ame Exit to windows
	
#6045: 	#ame   Vietcong - dedicated server launcher
#6046: 	#ame   Operation completed successfully
#6047: 	#ame   Definition has been saved into this file:
	
#6048: 	#ame   Cannot create file.
	
#6049: 	#ame   Error
	
	
	
	
	
#7216: 	#ame   Audio options
#7217: 	#ame 
#7218: 	#ame   Maximum number of buffers playing at the same time: %d
#7227: 	#ame   Multi-channel music
#7228: 	#ame   Software buffers only
	
#7229: 	#ame   Speech volume
	
#7257: 	#ame   Enable/disable quadrophonic reproduction. (You must own qudrophonic or a 5.1 speaker system)
#7258: 	#ame   Only check this box if you have a serious problem with reproduced sound quality.
#7259: 	#ame   Increase/decrease the volume of the speech
	
	
	
	
#8447: 	#ame  Lightsticks
	
	
#6990: 	#ame   0.18
#6991: 	#ame   0.32
#6992: 	#ame   0.53
#6993: 	#ame   0.75
	
#2078: 	#ame   to switch the radio off
#2079: 	#ame   to switch the radio on
	
	
	
#2822: 	#ame    to go to the shooting range
#2823: 	#ame    to go back to your bunker
#7268: 	#ame    Now you are in your bunker. You can browse through your things and papers or open the door and go to the firing range.
#7269: 	#ame    Just point at the item which interests you and press USE.
#7270: 	#ame    If you want to start your mission, use your mission briefing papers. They are clipped together and lying on your table.
	
	
	
	
	
	
	
	
	
	
	
#9315: 	#ame Medic Patrol
#9316: 	#ame Three canyons
#9317: 	#ame Midnight Surprise
#9318: 	#ame Operation: Tin Can
#9319: 	#ame Papa Oscar Whiskey
#9320: 	#ame Brush and Sweep
#9321: 	#ame Outpost
#9322: 	#ame Radio Relay
#9323: 	#ame Po Tlong Karai
#9324: 	#ame Air Recon / Saving the pilot
#9325: 	#ame Bahnar village
#9326: 	#ame The Bridge
#9327: 	#ame Under Siege
	
	
	
	
	
#370: 	#ame Ammo: 0.45 ACP \n
	Magazine capacity: 7\n
	Overall length: 216 mm\n
	Barrel length: 127 mm\n
	Weight: 1105 g\n\n
	
	In 1906, the US Army decided to replace service revolvers with a new, modern gun. Famous weapon designer, John M. Browning, working for the Colt Company, designed a new cartridge with a caliber of 0.45 inch and a new semi-automatic pistol. After extensive testing it was adopted as the new standard military sidearm. The original design was improved in 1926 and this gun was adopted by the US military as the M1911A1. Most of the M1911s for the military were manufactured by Colt and the Springfield Armory, but civilian versions of the M1911 (called “Government”) were manufactured by many other companies, including some in foreign countries. \n
	Reliable, simple and strong gun with seven powerful 0.45 ACP rounds in a magazine. It became one of the most popular pistols in the world.
	
	
	
#371: 	#ame Ammo: 0.38 special \n
	Magazine capacity: 6\n\n
	
	Revolvers are simple and reliable weapons. This one is a Chinese copy of one of the Colt models.
	
	
	
	
#372: 	#ame Ammo: 9mm x 18 Makarov \n
	Magazine capacity: 8\n
	Overall length: 161 mm\n
	Barrel length: 93 mm\n
	Weight: 730 g\n\n
	
	The PM (Pistoljet Makarova) was designed as a small self-defense gun for army officers and police in the Soviet Union. The original design is based on the famous German Walther PPK. Copies of these pistols were made in China and East Germany. After it’s creation, it replaced the Tokarev in 1951 as the standard sidearm of the Red Army.
	
	
	
#373: 	#ame Ammo: 7.62mm TT \n
	Magazine capacity: 8\n
	Overall length: 196 mm\n
	Barell Overall length: 116 mm\n
	Weight: 840 g\n
	
	This handgun was developed in 1930 by Tokarev, as a standard Russian sidearm. It was widely used during and after the Second World War, replaced by the Makarov in 1951. Copies were manufactured in many eastern block countries, China and North Korea.
	
	
	
#374: 	#ame Ammo: 9mm Parabellum\n
	Magazine capacity: 8\n
	Overall length: 188 mm\n
	Barrel length: 101 mm\n
	Weight: 750 g\n\n
	
	Smith & Wesson are responsible, for what was the first US designed double action, semi-automatic pistol.
Special Forces and Navy Seals often used a modified version of the S&W model 39, nicknamed the ‘Hush Puppy’. As it was silenced, this enabled soldiers to eliminate enemy soldiers without alerting anyone. They were also useful in the networks of VC tunnels, where firing a regular weapon could result in temporary deafness.
	
	
#375: 	#ame Gauge: 12\n\n
	
	A classic hunting, double-barrel shotgun.
	It is extremely deadly at close range.
	
	
	
#376: 	#ame Gauge: 12\n
	Magazine capacity: 7 rounds in under barrel tube magazine\n
	Barrel length: 457 mm\n
	Weight: 3.5 kg\n\n
	
	The Remington 870 was introduced by Remmington in 1950 and it quickly became one of the most popular US-made, all purpose, pump-action shotgun.  
	It is used by hunters, police, and the military. \n
	As with all shotguns, it is excellent at close quarters but less effective at range.
	
	
	
	
#393: 	#ame Ammo: 0.30 carbine \n
	Magazine capacity: 15 rounds \n
	Overall length: 904 mm\n
	Barrel length: 458 mm\n
	Weight: 2.36 kg\n\n
	
	
	A light and elegant weapon that's also easy to handle. Originally it was intended as a replacement for service handguns intended for non-fighting troops. It was assumed that it would be much simpler to train these soldiers with small carbine than with a standard pistol or revolver. Although the cartridge used for this rifle is stronger than any pistol round, lack of muzzle energy and the round nosed bullet, makes it extremely ineffective over a range of about 200 meters. The M1 Carbine was developed by Winchester and the first delivery to the US Army took place in July 1942. Many more companies were selected to manufacture this gun, so at the end of the Second World War, there were over six million M1 carbines. The M1A1 was developed as a paratrooper weapon, with side-folding stock. The M2 was manufactured during the Korean War and it had possibility of full-auto fire. \n
	Although its effective range is quite small, the M1 carbine was suitable for close combat and jungle warfare because it was smaller than full sized rifles, such as the M1 Garand. It also offered quite a high rate of fire thanks to the detachable magazines and low recoil. \n
	
	
	
#377: 	#ame Ammo: 7.62 x 54mm \n
	Magazine capacity: 5 rounds \n
	Overall length: 1306 mm\n
	Barrel length: 800 mm\n
	Weight: 4.22 kg\n\n
	
	Although this Russian weapon (known as a “Vintovka Mosina” in Russia) dates back to 1891, it was manufactured well after the Second World War. It is a very useable, reliable and accurate rifle, although really long and awkward to manoeuvre and carry. It was largely manufactured, not just in Russia but also in France and the USA. There are many versions of this gun, like shorter carbines M1891/38 and M1891/44.
	
	
	
#378: 	#ame Ammo: 7.62x39mm mark 1943\n
	Magazine capacity: integral 10 rounds, loaded with special stripper clips or with loose cartridges\n
	Overall length: 1122 mm\n
	Barrel length: 520 mm\n
	Weight: 3.86 kg\n\n
	
